group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.005454545454545455,0.5418181818181819,0.048313582497721,0.015468685020377517,1097,1093
Age,200,0.0,0.55,-0.040000000000000036,-0.14,100,100
Disability_status,200,0.0,0.46,0.06000000000000005,-0.18000000000000005,100,100
Gender_identity,200,0.0,0.64,-0.09999999999999998,0.1717171717171717,100,99
Nationality,200,0.0,0.47,-0.06000000000000005,0.06000000000000005,100,100
Physical_appearance,200,0.01,0.54,0.1200000000000001,0.010000000000000064,100,99
Race_ethnicity,200,0.0,0.61,0.0,-0.06000000000000005,100,100
Race_x_SES,200,0.0,0.62,0.1717171717171717,0.10000000000000009,99,100
Race_x_gender,200,0.0,0.58,0.17999999999999994,0.040000000000000036,100,100
Religion,200,0.04,0.54,0.020408163265306145,-0.020000000000000035,98,96
SES,200,0.0,0.49,0.08000000000000007,0.1200000000000001,100,100
Sexual_orientation,200,0.01,0.46,0.10000000000000009,0.07,100,99
