group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.012727272727272728,0.7863636363636364,0.08196721311475419,0.169090909090909,1098,1086
Age,200,0.0,0.8,0.15999999999999992,0.26,100,100
Disability_status,200,0.0,0.79,0.17999999999999994,0.45999999999999996,100,100
Gender_identity,200,0.03,0.78,0.2525252525252526,0.06999999999999997,99,97
Nationality,200,0.0,0.79,0.10000000000000009,0.26,100,100
Physical_appearance,200,0.03,0.77,0.30000000000000004,0.53,100,97
Race_ethnicity,200,0.01,0.8,0.06000000000000005,-0.11000000000000004,100,99
Race_x_SES,200,0.0,0.74,-0.020000000000000018,0.020000000000000018,100,100
Race_x_gender,200,0.0,0.72,-0.16000000000000003,-0.12,100,100
Religion,200,0.02,0.87,0.1717171717171717,0.15999999999999995,99,98
SES,200,0.05,0.82,0.0,0.26999999999999996,100,95
Sexual_orientation,200,0.0,0.77,-0.14,0.06000000000000005,100,100
