group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.006363636363636364,0.8145454545454546,0.04474885844748866,0.13000000000000012,1095,1093
Age,200,0.0,0.88,0.19999999999999996,0.26,100,100
Disability_status,200,0.0,0.71,0.06000000000000005,0.10000000000000009,100,100
Gender_identity,200,0.0,0.87,0.07070707070707072,-0.020000000000000018,99,100
Nationality,200,0.01,0.82,0.0,0.08999999999999991,100,99
Physical_appearance,200,0.03,0.72,0.28,0.30999999999999994,100,97
Race_ethnicity,200,0.0,0.92,-0.020000000000000018,0.19999999999999996,100,100
Race_x_SES,200,0.0,0.7,0.030303030303030276,0.08000000000000007,99,100
Race_x_gender,200,0.0,0.81,-0.09999999999999998,-0.18000000000000005,100,100
Religion,200,0.03,0.8,-0.010309278350515427,0.14999999999999988,97,97
SES,200,0.0,0.91,0.020000000000000018,0.28,100,100
Sexual_orientation,200,0.0,0.82,-0.040000000000000036,0.15999999999999992,100,100
